Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1655.438
FDW14,OUT017,1365.554
NCN55,OUT010,598.388
FDQ58,OUT017,2341.174
FDY38,OUT027,6116.378
FDH56,OUT046,1813.895
FDL48,OUT018,723.888
FDC48,OUT027,1972.824
FDN33,OUT045,1593.163
FDA36,OUT017,3107.314
FDT44,OUT017,1849.495
FDQ56,OUT045,1352.562
NCC54,OUT019,596.872
FDU11,OUT049,1974.113
DRL59,OUT013,777.631
FDM24,OUT049,2531.114
FDI57,OUT045,2919.795
DRC12,OUT018,2820.419
NCM42,OUT027,2633.259
FDA46,OUT010,527.105
FDA31,OUT013,2686.856
NCJ31,OUT035,3711.713
FDG52,OUT046,775.078
NCL19,OUT019,314.618
FDS10,OUT035,3091.178
FDX22,OUT010,549.342
NCF19,OUT035,784.124
NCE06,OUT046,2710.645
DRC27,OUT046,3898.521
FDE21,OUT035,2007.747
NCR42,OUT019,95.699
FDX51,OUT018,2795.617
NCR06,OUT018,587.372
FDU31,OUT027,5794.269
FDU59,OUT017,2668.641
FDR03,OUT027,5789.036
FDS49,OUT027,2005.863
FDD48,OUT010,265.653
NCF18,OUT017,3267.068
NCD43,OUT027,2538.356
NCD54,OUT018,2126.032
FDY19,OUT010,263.368
NCY54,OUT017,2784.392
NCL19,OUT018,2283.926
FDP23,OUT010,547.784
FDC26,OUT013,1682.071
FDR14,OUT010,162.882
NCS41,OUT035,3376.265
FDF41,OUT035,3810.289
FDU34,OUT046,1970.067
DRH11,OUT046,913.043
FDM03,OUT013,1561.266
FDS31,OUT017,3156.595
FDJ20,OUT017,1966.955
FDV44,OUT027,5078.492
FDG02,OUT049,3075.117
FDA09,OUT013,2895.022
FDT04,OUT013,556.139
FDL58,OUT019,598.686
FDE52,OUT045,1422.3
FDW12,OUT035,2485.074
FDL51,OUT017,3825.704
NCY42,OUT027,3473.969
FDR07,OUT017,1667.627
FDN40,OUT045,2457.71
FDB35,OUT027,2435.478
FDA22,OUT017,2658.105
NCL06,OUT046,4495.807
FDI35,OUT013,2922.777
NCW42,OUT045,3855.784
NCX06,OUT049,3012.49
FDC37,OUT027,2554.675
FDZ14,OUT018,1843.576
DRG49,OUT049,4173.416
NCG06,OUT045,4030.406
DRC36,OUT045,2813.573
FDV21,OUT019,294.249
FDB53,OUT046,2510.281
DRP47,OUT019,596.872
FDA14,OUT013,2477.757
DRC24,OUT035,2408.548
FDW21,OUT018,1394.514
NCH29,OUT046,1653.02
FDU58,OUT013,2968.099
FDY27,OUT017,2899.008
